unemprate,Year,State,total.population,male,female,under_5yrs,X5to9_yrs,X10to14_yrs,X15to19_yrs,X60to64_yrs,X65to74_yrs,X75to84_yrs,X85andover,median_age,X18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,ES_16above,ES_inlabor,ES_not_inlabor,ES_own_under6,ES_Gov,ES_Const,ES_Manuf,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,X12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen
6.5,2011,Minnesota,5278190,2620590,2657600,353120,348782,355702,372303,270638,344943,225635,101918,37.3,3997594,4556910,264751,57271,208315,5278190,2339293,4147665,2939455,1208210,411709,335532,160249,379567,84536,730881,588867,675625,5142657,1505778,705421,176543,68829,172906,784679,359091,165211,210395
10,2011,Mississippi,2956700,1434572,1522128,209804,206766,209382,224628,156134,210376,120923,43892,35.9,2199741,1767875,1094596,13775,25807,2956700,1266417,2287478,1358958,928520,236528,232498,92066,158318,51366,333643,291354,389023,2863781,912466,382851,120700,47139,241459,421669,133307,20660,44398
8.5,2011,Missouri,5955802,2915275,3040527,386915,386557,398625,427986,327409,439907,273041,113191,37.7,4532155,4957147,686044,22509,93632,5955802,2702890,4700400,3056406,1643994,445194,374561,187492,328969,99298,804088,669653,756999,5782335,1690782,730720,248593,79649,348445,888762,371388,94159,133436
6.9,2011,Montana,982854,492668,490186,60700,60739,61784,69056,60393,77754,46950,18852,39.8,759645,881905,4403,61399,5999,982854,478030,786732,513196,273536,70976,86909,40498,23083,15810,146689,118262,115602,954245,252116,121614,46507,12438,39426,162730,58061,10216,9372
4.4,2011,Nebraska,1813061,898314,914747,129958,125509,123210,131078,92966,120959,85317,37722,36.3,1357819,1600661,79828,15858,30637,1813061,793243,1409203,1001009,408194,150366,134120,60891,100964,28350,248082,205221,232163,1761808,518484,224388,65285,25437,66462,282220,104436,37759,71713
13,2011,Nevada,2673396,1350934,1322462,188966,184528,177733,179065,149079,191157,94495,29891,36.1,2011277,1960913,214360,29344,190079,2673396,1160680,2086005,1401953,684052,218284,156866,102463,52734,59448,340611,261652,339420,2637539,779921,365767,133548,35172,166217,452677,131911,206157,308038
5.4,2011,New Hampshire,1315911,649547,666364,70938,78504,85606,95473,79182,94294,57362,23512,40.7,1025011,1241530,14520,2688,27702,1315911,611916,1063324,743342,319982,83648,95988,50944,89286,20935,166829,128449,163368,1276122,359386,160538,54673,15238,53236,171847,108934,35856,33019
9.3,2011,New Jersey,8753064,4261485,4491579,543370,565713,586052,599685,467507,599425,401253,171831,38.7,6684371,6095247,1180649,20490,714890,8753064,3543967,6935191,4633565,2301626,639707,615074,249241,388520,148403,979513,827372,1119871,8565450,2749421,1219792,228916,116315,405947,1003966,778213,909075,895759
7.5,2011,New Mexico,2037136,1005646,1031490,143988,140479,141890,149927,114941,149733,84933,31585,36.5,1521911,1467191,41082,188613,27214,2037136,896228,1581130,974512,606618,165649,199317,71046,46087,44061,260204,215030,254558,1994624,620120,278202,87988,27970,122275,311023,142120,64723,135180
8.3,2011,New York,19302448,9341547,9960901,1158007,1159958,1226675,1371903,1031913,1335166,877643,378090,37.8,14954839,12768805,3013740,67766,1415147,19302448,8081303,15494360,9881672,5612688,1338581,1514208,524793,638955,348486,2558832,2101673,2345755,18711449,5767384,2979861,524652,236505,1091242,2097401,1819016,2191893,2023155
